9,,,,D9 ~,PA07,AIN7,EXTINT7,,SER0:3 ,TCC1:1,PTC:Y5,I2S/SD[0]
,,,,,,,,,,,,
TXLED,,,,,PA27,,EXTINT15,,,,,
RXLED,,,,,PB03,AIN11,EXTINT3,,SER5:1,PTC:Y9,
13 LED,,,,D13 ~,PA17,,EXTINT1 ,SCK,SER1:1/3:1*,TCC2:1/0:7,PTC:X5,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Text,,,,,,,,,,,,
ATSAMD21G18 Mini Breakout (DEV-13664 ),Arduino Zero compatible,,,,,,,,,,,
Power,RAW: 3.5V-6.0V,VCC: 600mA @3.3V,Each pin is 3.3V tolerant and can source/sink no more than 7mA/10mA,Each cluster of I/O pins can source 46mA and sink 65mA.  Clusters are defined as Yellow Pink Green Blue Red and Orange outlines.,,,,,,,,
SamD21G18,VCC:1.62-3.63V,Arm Cortex-M0 + (32-bit),Flash Memory: 256KB,SRAM: 32KB,ADC: 12-bit,48MHz,RTC ,USB 2.1 with USB host capability,,,,
LEDs,Power: Red,D13 (PIN_LED_13): Blue,TX (PIN_LED_TXL): Green,RX (PIN_LED_RXL): Yellow,,,,,,,,
Serial,USB: SerialUSB,Hardware Serial: Serial1,Only Ports with * can be configured to do I2C,To use USB host set PIN_USB_HOST_ENABLE high,,,,,,,,
Micro A/B USB,,,,,,,,,,,,
Reset Button,,,,,,,,,,,,
Programming Header,1: VCC 3.3V,2: SWEDIO/TMS,3: GND,4: SWDCLK/TCK,5: GND,6: SWO/TDO,7: Key,8: NC/TDI,9: GNDDTCT,10: Nreset,,
SJ1,disconnect to disconnect power LED,,,,,,,,,,,
Power LED,User (D13) LED,TX LED,RX LED,,,,,,,,,
,,,,,,,,,,,,
TC - Timer Counter,TCC - Timer Counter - Controller,PTC Peripheral Touch Controller,NMI-External Non-Maskable Interupt,Pin can only be A,B,C,D,E,F,G or H at any time,Selecting B disables digital control,,,,,,,
8-bit PWM pins marked with ~,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
EOF,,,,,,,,,,,,
